Smell_Source	Smell_Word	Quality	Sentence	Year	Book
various skins|of tobacco	aroma	unmistakable unmistakable	It could hardly be called a drawing - room , because there Avas a businesslike businesslike bureau and Avriting - table in one corner , corner , a number of queerly - fashioned Aveapons AA ' ere arranged on the Avail , some buffalohorns buffalohorns and a gigantic pair of antlers hung over the fireplace , and various skins were spread over the carpet , Avhile an unmistakable unmistakable aroma of tobacco pervaded the atmosphere .	1891	bl013639
of tobacco	odour	faint	Blabs , who was staying at Borromere , and had come over on a visit to Grandborough with his hostess , and been persuaded to form one in this little expedition , was the only one to detect a faint odour of tobacco — for Blabs was observant through his phlegm .	1894	bl013657
the tobacco	aroma	distinctly foreign	Even the tobacco which he had been smoking in cigarettes had a distinctly foreign aroma .	1897	bl013660
at those tobacco leaves of yours	puffing|smell		You svere puffing at those tobacco leaves of yours , and you had no sight , no smell , no ears for anything I ' ll not deny it , Master Don ' t , for it ss - ould be useless .	1898	bl013668
of gas|drains|opium|tobacco|oil lamps|the pastiles	smell	terrific	The smell of gas , drains , opium , tobacco , oil lamps , and the pastiles always burning before the inevitable shrines , was terrific .	1896	bl013670
of tobacco	smell		Here ' s a pipe , dear dad ; I love the smell of tobacco ; and ( to me ) do fetch me a pipkin , that I may brew a good drink to keep our tongues About the time this drink was brewed , Simon , leading Mr .	1895	bl013675
it|of|of brandy|brandy|bad tobacco	smell		I said , Very well , would your reprobate son — I began rep — and then said son — mind bringing it back again ? She said he would ; but I ' ve not seen it since , and , of course , I couldn ' t wear it if he did — it would smell of brandy and bad tobacco .	1889	bl013683
with tobacco smoke	scented	strongly	The score was returned after two months , strongly scented with tobacco smoke , in a huge blue envelope containing also a scrap of paper , with these words : ' Very sorry .	1889	bl013683
of tobacco|innocent tobacco	whiff|whiff	single	A single whiff of tobacco — innocent tobacco — taken from my own jar — scarcely one whiff ! — drawn through that devil ' s pipe had knocked the life right out of him , had slain him as if by a bolt from heaven .	1897	bl013747
of the tobacco grown	aromatic|aromatic	aromatic|aromatic	The high reputation reputation of the cigars bearing this name was originally due to the aromatic quality of the tobacco grown in the district known as the Vuelta Abajo ( to the west of Havana ) ; but now , it is said , not one - half ofthe so - called Havanas of commerce are made even from Cuban tobacco , large quantities of tobacco grown elsewhere being imported into Cuba to be manufactured into cigars , and then re - exported as genuine Havanas .	1889	bl013792
the tobacco|' Manilla	aromatic|aromatic	aromatic|aromatic	In particular , Cuba receives large supplies from the Philippine Islands , the tobacco of which ( ' Manilla ' ) is likewise remarkable for its aromatic flavour , but has hitherto received very indifferent treatment in the islands in which it is produced .	1889	bl013792
tobacco	fragrant|fragrant	fragrant|fragrant	And presently , when he had lighted a second cigar , he began to give up the hopeless problem , leaving it at least for the present , and surrendering himself to the gracious influence of the fragrant tobacco .	1892	bl013795
tobacco - smoke|of Mr .	aroma		He hated tobacco - smoke , and the aroma of Mr .	1894	bl013804
of tobacco and gin	smell		But he sticks by me through thick and thin ; And this old coat , with its empty pockets , And rags that smell of tobacco and gin , He ' ll follow while he has eyes in his sockets .	1897	bl013826
of ulcerous men|of stale tobacco - smoke|fumes of dead whisky|of many unclean unclean ruffians	odours|smell|stench	deadly|penetrating|sickening|horrible	The deadly , penetrating odours of ulcerous men , who suffered from unnamable unnamable diseases , of stale tobacco - smoke , the sickening fumes of dead whisky , and the smell of many unclean unclean ruffians , made the air heavy with a horrible stench .	1896	bl013827
of|of tobacco|tobacco smoke|smoke	whiff		107 white as wool , one fold towering above another , with fragments of rainbow dissolving on their eastern skirts ; clouds so noble and majestic , so snow - like in their brilliant brows , so fitted as foils for the prismatic glories of the sunlit iceberg , that it was as wonderful to mark them sailing up out of the south ( where in March one fancies all the warmth lies ) instead of down from the - Arctic regions , as it was delightful to plunge the fancy into their soft depths , to observe summits , and brows , and emi nences , the spurs of hills , the defiles and ravines and scars , all as solid to the eye as the substantial land , yet presently to melt and disappear like a whiff of tobacco smoke .	1893	bl013829
the steam of tea|the curls of tobacco smoke|of tar|fumes|fumes of the oil lamp	aromas|fumes|fumes|smell	mingled|peculiar marine	The interior was warm , with the hot deck overhead , and internal internal flavouring of the steam of tea , the curls of tobacco smoke , and the mingled aromas of tar , of the secrets of the forepeak , of the fumes of the oil lamp , and the peculiar marine smell that is exhaled , through some occult processes , by sailor ' s waterproof clothes .	1893	bl013829
of the tobacco	smell		She generally had this either lit , or ready to be lit , at her elbow , and Avhen she Avas not divining or ansAvering questions , she would still be smoking this pipe all day long , so that her room Avas ahvays foul Avith the smell of the tobacco , Avhich she affirmed to be the best preventh7e that exists against fever and sore throats .	1891	bl013833
of the damp cloth|of flip|hot mulled or spiced ale|porter|punch|purl|grog|of a dozen pipes of tobacco|of the six candles	reek|smell|fumes|snuffing	nauseous|nauseous	It Avas a cold and Avet night : the company had hung up their cloaks and capes on the pegs to dry : the reek of the damp cloth combined with the smell of flip , hot mulled or spiced ale , porter , punch , purl , grog , and every other kind of drink , and with the fumes , irritating and nauseous , of a dozen pipes of tobacco , and , lastly , with the snuffing of the six candles by Avhich the room Avas lit , to make a most delectable atmosphere .	1891	bl013833
of tobacco	smell		You do not object to the smell of tobacco , I hope .	1889	bl013838
of tobacco	smell		Laurence , in his ignorance , thought that this must have been formerly the bedroom of the late Vicesimus , and wondered how that reverend ghost Avould take the smell of tobacco .	1889	bl013838
of|tobacco smoke|of tobacco	whiffs|fragrant|fragrant|odour	fragrant|fragrant	Now and then I was conscious also of whiffs of fragrant tobacco smoke — both my governess and I liked the odour of tobacco ; for David Amber , lad as he was , had long since inured us to it ; and now he and Mr .	1891	bl013863
a veneer of assafœtida and huqa - tobacco	stenches		Bombay cloaks her stenches with a veneer of assafœtida and huqa - tobacco ; Calcutta is above pretence .	1891	bl013869
some powdered red tobacco	snuff|snuff		The man is weakly , and we can see that his hand is small and dirty , as he manipulates his snuff - box , cut out of a piece of horn , shaking out some powdered red tobacco which he sniffs up into his nose .	1891	bl013884
of stale tobacco	smell		They made a great deal of noise about the old house , and sat up late at night smoking and talking , which vexed the just soul of Hunt , who could not abide late hours , and annoyed Sir Francis , who disliked disliked the smell of stale tobacco when he came into his library in the morning .	1898	bl013891
of tobacco	smelt|odour		Suspicion follows hard upon mistrust , and the morning after Nathaniel ' s visit Stephen de Burg asserted , in a manner not to be trifled with , that he was positive he had smelt the odour of tobacco in the upper corridor on the previous night .	1890	bl013911
of stale liquor and staler tobacco	odour	thick	As the figures disappeared from view the landlord landlord turned slowly and moved into the bar - room , where there was a thick odour of stale liquor and staler tobacco .	1897	bl013919
of stale tobacco	odour		After dinner , the House resolved itself into committee , the Sheriff taking notes in an apparently amateur way , that the drawing - room might not have too much the appearance of The drawing - room was properly tyled against the intrusion of servants , and tea and coffee set out that the lodge might , in defiance of masonic custom , proceed simultaneously with labour and refresh Well , began Jack , Thursday morning I walked up to Dead Man ' s Belt and examined the interior of the hut , but found there nothing fresh except an odour of stale tobacco .	1894	bl013928
of strong tobacco	odour	strong	I prefer to adopt the purely physical theory that he dislikes the fiscal on account of the strong odour of strong tobacco which usually streams forth from him .	1894	bl013928
of our tobacco - pouches	fragrance		Barring that we are all rather short - sighted , that there is no carpet of any sort within three miles , and that the fragrance of our tobacco - pouches will not cure everything , your parallel parallel holds said Lumdie - Gair ; barring the fact that there is one of this company at least who is not in There is never any use in telling a said Jack thoughtfully .	1894	bl013928
of tobacco	aroma		The aroma too of tobacco , wafted from the terrace , where Mr .	1897	bl013931
of tobacco	whiff		By Jove , a whiff of tobacco does one good after those leagues of dusty The unceremoniousness of the action and 36 WRONGED .	1889	bl013950
of tobacco smoke	smells		Mackenzie says no longer smells of tobacco smoke , as it did when she took possession of your den .	1898	bl013979
with their tobacco smoke	perfume		Benazet ; where wistful schemers conspire and prick cards down , and deeply meditate the infallible coup ; and try it , and lose it , and borrow a hundred francs to go home ; where even virtuous British ladies venture their little stakes , and draw up their winnings with trembling rakes , by the side of ladies who are not virtuous at all , no , not even by name ; where young prodigals break the bank sometimes , and carry plunder out of a place which Hercules himself could scarcely compel ; where you meet wonderful countesses and princesses , whose husbands are almost always absent on their vast estates — in Italy , Spain , Piedmont — who knows where their lordships ' possessions are ? — while trains of suitors surround those wandering Penelopes their noble wives ; Russian Boyars , Spanish Grandees of the Order of the Fleece , Counts of France , and Princes Polish and Italian innumerable , who perfume the gilded halls with their tobacco smoke , and swear in all languages against the Black and the Red .	1898	bl013979
with tobacco|eau - de - Cologne	scented		A Mosaic youth , profusely profusely jewelled , and scented at once with tobacco and eau - de - Cologne , occupied Clive ' s stall on Mademoiselle Saltarelli ' s night : it was young Mr .	1898	bl013979
tobacco	whiffing		Leaving his father to the felicitations of the station - master , he went into the Lobourne road to look for his faithful Tom , who had received private orders through Berry to be in attendance with his young master ' s mare , Cassandra , and was lurking in n plantation of firs uninclosed on the borders of the road , where Richard , knowing his retainer ' s zest for conspiracy too well to seek him anywhere but in the part most favoured with shelter and concealment , found him furtively whiffing tobacco .	1890	bl013987
of mignonette|of tobacco	scent|scent	stronger	Through the open curtainless window came a scent of mignonette , which by this time , however , was overpowered by the stronger scent of tobacco .	1892	bl012010
of pungent tobacco dust	whiff		The old snuff ' mill is tilted quaintly over the stream ; and out of the open casement with its diamond panes comes a whiff ' of pungent tobacco dust that sets your eyes watering .	1898	bl012011
of tobaccosmoke	scent		58 THE LAST ENTRY came aft , along with the scent of tobaccosmoke .	1897	bl012050
of our style of tobacco	smell		The ladies seemed to enjoy the smell of our style of tobacco .	1894	bl012066
tobacco	whiffing		Leaving his father to the felicitations of the station - master , he went into the Lobourne road to look for his faithful Tom , who had received private orders through Berry to be in attendance attendance with his young master ' s mare , Cassandra , and Avas lurking in a plantation of firs unenclosed on the borders of the road , where Richard , knowing his retainer ' s zest for conspiracy too well to seek him anywhere but in the part most favoured with shelter and concealment , found him furtively whiffing tobacco .	1897	bl012074
of strong tobacco	whiff		The streets were deserted ; but from the open doors of every public - house came a buzz of tongues , a clang of pewter - pots , a whiff of strong tobacco , which showed that a fairly large number of the male inhabitants of Casterby had betaken themselves to their favourite haunts and their favourite occupation .	1895	bl012082
of tobacco smoke	reeked		The room reeked of tobacco smoke , which made her cough ; it was furnished with an Oriental gaudiness gaudiness that grated on her artistic nerves .	1898	bl012131
of tobacco	smells		123 opening the front door ; smells of tobacco , and there ' s nothing pretty in it .	1891	bl012142
of tobacco	smell		Palmet and Beauchamp went to their fish and meat ; smoked a cigarette or two afterward , conjured away the smell of tobacco from their persons as well as they could , and betook themselves to the assemblyroom assemblyroom of the Liberal party , where the young lord had an opportunity of beholding Mr .	1896	bl012145
of tobacco	reek	stale	Lespel led the way to the deserted smokingroom , smokingroom , where the stale reek of tobacco assailed the ladies , as does that dire place of Customs the stranger visiting savage ( or too - natural ) potentates .	1896	bl012145
tobacco	snuff		The master , attired in a dirty blouse , sat unflinchingly on the table , so as to dominate the whole schoolroom , and between his knees he held a bowl , in which , with a gigantic pestle , he brayed tobacco into snuff .	1898	bl012167
of tobacco|burnt shoe - leather|of dried codfish|pickled mackerel	odours|perfumes	blended|other subtle|more pronounced	The room was overheated overheated ; the blended odours of tobacco , burnt shoe - leather , and the other subtle perfumes that rose and mingled with the more pronounced ones of dried codfish and pickled mackerel , would have deterred the more sensitive members members of the community from any thought of purchase or even entrance therein .	1893	bl012182
curling clouds of tobacco - smoke	fragrance	soothing	So sombre was the atmosphere , and so abstractedly was he watching the curling clouds of tobacco - smoke that floated with soothing fragrance about the room , that he did not notice the approach of a swift - footed , noiseless little figure until he was roused by a touch upon his sleeve .	1895	bl012188
of tobacco	smell		They smell of tobacco ; they talk of nothing but horses and cards ; they bore me to death .	1896	bl012195
of the tobacco	odour	warm|almost stupefying	The damp , warm odour of the tobacco in the long , low - roofed rooms is in itself almost stupefying .	1895	bl012197
of rum and tobacco of	reeking|fragrance	powerful|exceptionally good	He knows the Traversing the passage , he entered the bar , and , opening a door behind it , admitted himself and his companion into a small room , of very cosy aspect , warmed by a huge fire , and reeking with the powerful fragrance of rum and tobacco of exceptionally good quality .	1895	bl012214
camphor|camphor|coffee|Ahmedabad|long|dammer|soft sugar|sago|saltpetre|saltpetre|soap|cloves|cinnamon|mace|from Cambay|black pepper|pearls|horses|charcoal|alum|tea|assafœtida|tobacco|sugarcandy|molasses|from Dholera|sandalwood|candles|tamarind|rosewater	perfumes		4 In 1841 the chief articles of trade between Surat and Ahmedabad were silk raw and manufactured , cotton piece goods , gold thread , country paper , metal articles , wheat , and coriander seed ; through Kaira to the Panch Mahals and Malwa , and to Dongarpur and Mewar , cumin seed , cardamoms , bishopsweed , betelnut , brimstone , camphor , camphor , coffee , cocoanuts without shells , cotton , dry ginger , gum , iron , indigo , catechu , and lace ; from Jambusar and Tankari , through Dehvan to Ahmedabad , long pepper , perfumes , dammer , soft sugar , sago , saltpetre , saltpetre , soap , cloves , cinnamon , and mace ; from Cambay , black pepper , pearls , horses , charcoal , alum , tea , assafœtida , tobacco , sugarcandy , and molasses ; and from Dholera , sandalwood , candles , tamarind , and rosewater .	1896	bl012218
tobacco - pipe|some	foul|foul|smelling|smelling|fragrant|fragrant	foul|foul|filthy|smelling|smelling|fragrant|fragrant	She unearthed a small , grimy , foul , and filthy - smelling tobacco - pipe , and a brass box , which contained contained a small portion of the very rankest description of the fragrant a hornhandled hornhandled clasp - knife , some pieces of string , two or three small livery buttons , and a small packet , which appeared rather carefully carefully folded .	1890	bl012243
tobacco	reeked	exceedingly bad	93 it was a real pleasure to kiss him when he had not shaved for three days , and all about him reeked of exceedingly bad tobacco .	1898	bl012246
of tobacco	smell		And she will perhaps think that we come not sober into her presence , or will find herself by the smell of tobacco made sick .	1898	bl012246
of stale tobacco	smell		All our clothes of stale tobacco smell .	1898	bl012246
of my tobacco	smell		But I ' ll have some wine , if Adam can fish up a bottle of claret ; and there ' s a fire we can smoke by , I hope , for I want to have a good long talk with I could put on a fire anywhere , Sir Charles ; but there ' s a good one in the housekeeper ' s room , if you wouldn ' t Mind ! why should I ? if you won ' t mind the smell of my tobacco .	1896	bl012256
of the tobacco	reek		She crept into the parlour , where the gas lights were burning Ioav , and the reek of the tobacco still filled the room .	1898	bl012280
of tobacco|a thick mist of tobacco smoke	smell	frightful	There was a frightful smell of tobacco , and a thick mist of tobacco smoke , and Mr .	1891	bl012288
tobacco	reek		I was just thinking that if I were dead I would gar my ghaist come back to the outside o ' that window and blaw tobacco reek in on our maister .	1896	bl012289
of tobacco - smoke	odour	slight	It would be hard to say whether this lingered in the curtains and the furniture in the form of a slight odour of tobacco - smoke , or found its source in a subtle laxity of thought and personal habit enjoyed by the master of the house .	1896	bl012292
booksellers|stalls|tobacco|tobacco|spices	perfumes		There are booksellers ' shops , mercers ' , shoemakers ' , tailors ' , silversmiths ' ; and stalls for pipes , tobacco , tobacco , spices , and perfumes , .	1893	bl012294
of brandy and tobacco smoke	odours	mingled	The room reeked with mingled odours of brandy and tobacco smoke .	1890	bl012310
of tobacco smoke	perfume|odour	strong|familiar	A strong perfume of tobacco smoke hung about the faded draperies of the windoAvs , and , indeed , pervaded the whole room ; but , then , no one dwelling in that house would have dreamed of objecting to the familiar odour .	1890	bl012310
the tobacco - smoke	whiff		Mistress Lurid would have executed faithful portraits of you , as you appeared : ( 1 ) with the sunlight upon your temples and on your auburn hair ; ( 2 ) in suppressed anger , with swollen veins like knotted cords ; ( 3 ) smoking your cigarette ( the poses with the cigarette are various : but you would usually emit the tobacco - smoke in rings , ' the ebullitio , the whiff , ' and if you were walking down a Roman street , the rings would encircle and enclose you , as you walked , for which example of a Japanese dexterity your success in the vocation of circus juggler would be assured ) ; ( 4 ) with a wet towel round your forehead , in the morning , and in the act of absorbing brandy and soda - water ; ( 5 ) looking longingly THE ENGLISHMAN OF THE RUE CAIN .	1899	bl012342
tobacco	smelling|smelling	evil smelling|smelling	She had tracked him by the evil smelling tobacco AA ' hich issued from a blackened clay .	1889	bl012373
of tobacco	sniffing|smell		How many years have elapsed since last I tasted it ? I think I ' ll just have a little sip for the sake of old times , ( drinks and empties glass ) I shall never be able to look my wife in the face again , but really it appeared so tempting I couldn ' t resist , ( sniffing ) What a smell of tobacco ! Someone must have been smoking .	1891	bl012469
of smoke|of tobacco	smell|fumes	most disagreeable	Jamieson gave a sigh of relief , for in point of fact the smell of smoke was most disagreeable to her ; but she was one of those women who will patiently endure the fumes of tobacco for the sake of masculine society .	1892	bl012499
of tobacco	smell		You are very good , but I am not an inveterate inveterate I with an air of great simplicity , that Lady de Walden dislikes the smell of tobacco ? She never told me laconically .	1891	bl012514
of rank tobacco	reek	stifling	I became anxious for fresh air , for the saddle - room was dim with the reek of rank tobacco , and stifling hot .	1897	bl012545
of tobacco smoke	scent	rather pleasant	My late husband was a great smoker , and the scent of tobacco smoke is rather pleasant to me than other She asked Herbert , who was nearest to the bell , to ring ; and when the waiter appeared , she gave him some directions in half - a - dozen words , which resulted in his bringing in whisky , soda , ice , lemons and cigarettes .	1894	bl012564
of their tobacco	reek		So they trooped past us , rough and careless , with caps cocked , and the reek of their tobacco rising up from them like the steam from a tired horse .	1899	bl012578
fumes|fumes of tobacco	fumes|fumes		17 cabin , with the fumes of tobacco , but that a want of good breeding and of good seamanship seamanship was exhibited by the man who allowed tobacco smoke to wander through a dwellinghouse .	1892	bl012600
of violets and cigarettes|tobacco|violet|sweets	smelt|scent		Mrs Halifax , his admired friend , who smelt of violets and cigarettes , and whose extraordinary gowns he never wearied of commenting on , who was so sweet to her enemies that her friends wondered what further luscious greeting could be kept for them , even she would have been at a loss in Daisy ' s company ; and she , although one of his ideals , suggested somehow to him stale tobacco , violet scent , and expensive expensive sweets that have begun to melt and run into each other , now that he walked on the lawn with Miss Daisy Laylham and her small cousin Rose .	1890	bl012607
of tobacco	smell	strong	The whole was pervaded by a strong smell of tobacco .	1891	bl012608
Of tobacco|beer|thing|Of his native Seven Dials	vagrant|vagrant|fragrant|fragrant|odour	vagrant|vagrant|decidedly fragrant|fragrant	I have only a bit of a quarrel with Pat — Not of course that he ' s dirty And though thirteen looks thirty And is tattered and towzled with hair like a mat , Or is vicious and vagrant And decidedly fragrant Of tobacco and beer and unspeakable thing s ( Not in vessels and vials ) Of his native Seven Dials And the odour which to this queer neighbourhood clings ; But my quarrel is this , and a suitable text , That you never can guess what his trick will be next .	1899	bl012612
of tobacco	fragrance	fine	Linton and Blades , who came , of course , to visit Huxter , and brought with them a fine fragrance of tobacco .	1897	bl012633
of tobacco	odour|perfumed	constant	The ragged carpet had grown only more ragged during the two years of joint occupancy : a constant odour of tobacco perfumed the sitting - room : Bacon tumbled over the laundress ' s buckets in the passage through which he had to pass ; Warrington ' s shootingjacket shootingjacket was as tattered at the elbows as usual ; and the chair which Bacon was requested to take on entering broke down with the publisher .	1897	bl012633
of tobacco|gallipots	smelling		Is all life a compromise , my lady fair , and the end of the battle of love an ignoble surrender ? Is the search for the Cupid which my poor little Psyche pursued in the darkness — the god of her soul ' s longing — the god of the blooming cheek and rainbow pinions — to result in Huxter , smelling of tobacco and gallipots ? I wish , though I don ' t see it in life , that people could be like Jenny and Jessamy , or my lord and lady Clementina in the story - books and fashionable novels , and at once under the ceremony , and , as it were , at the parson ' s benediction , become perfectly handsome and good and happy ever And don ' t you intend to be good and happy , pray , Monsieur le Misanthrope — and are you very discontented with your lot — and will your marriage be a compromise — ( asked the author of Mes with a charming moue ) — and is your Psyche an odious vulgar wretch ? You wicked satirical creature , I can ' t abide you ! You take the hearts of young things , play with them , and fling them away with scorn .	1897	bl012633
of gin|tobaccoquid|tobaccoquid	smell		' It ' s true , so help me , ' he answered ; and then he looked round to see that no one was listening , and leaned forward till I could scarcely bear the smell of gin and tobaccoquid , tobaccoquid , and whispered , ' They ' ve found gold in Californy , and they ' re stuck up for all kinds of trade .	1894	bl012639
of tobacco - smoke	smell		She walked on , in the dark winter night , lighted only by the auroral glow overhead , and was conscious of a smell of tobacco - smoke , that so persistently seemed to follow her , that she was forced to notice it .	1892	bl012684
of tobacco	whiffs	very vigorous	He did not speak , but every now and then he put one finger furtively to his cheek , wiped off something , and drew very vigorous whiffs of tobacco .	1892	bl012684
of burning tobacco	smell	strong	The smell of burning tobacco was as strong there .	1892	bl012684
of the burning tobacco	odour		232 Although the thick matrass of white smoke had not as yet descended to the floor , and that it left comparatively clear air beneath it — the indraught from the door , yet the odour of the burning tobacco impregnated the atmosphere .	1892	bl012684
of vile tobacco|cooked bloaters|GREAT	odour	mixed	The food , also , was coarse and often barely eatable , whilst the mixed odour of vile tobacco , cooked bloaters , and GREAT BECKLESWAITHE MYSTERY .	1896	bl012703
of tobacco|snuff	odour	peculiar	During her absence , on two occasions , she had observed that one or two of her papers and portraits had been misplaced , and there was the peculiar odour of tobacco or snuff in the atmosphere of her room .	1895	bl012712
of tobacco	odour|perfume		The odour , I may say * the perfume , of tobacco purifies the air , prevents the germs of disease spreading , kills them , sir .	1889	bl012732
of tobacco	fumes|odour		A cosy little room it was for those who did not mind the fumes or the odour of tobacco .	1889	bl012732
of tobacco	whiff		It was about eleven o ' clock in the morning , and Barrow , after having partaken of a good breakfast , and been out for a whiff of tobacco and his now customary morning constitutional , had returned , and was arranging the table before setting to work , when a gentle knock followed by a still louder one was heard at the door .	1897	bl012738
of peat smoke|of a vile tobacco	smelling	the very worst	However , on arrival home that evening she was rather surprised to receive the very letter she had been expecting , and only after reading and re - reading it half a dozen times did she notice that O ' Donoghue , always so particular particular about trifles , had written on paper smelling of peat smoke and of a vile tobacco that was of the very worst sort — such paper as one buys at shebeen houses in Irish villages , the ink looking as if concocted out of simple bog water .	1893	bl012758
of whisky|strong tobacco	reeking	hot	His hot breath , reeking of whisky and strong tobacco , gave her a shudder of repulsion .	1896	bl012764
tobacco	snuff		' ' Well , mother , ' said the Captain good - humouredly , ' that ' s because you used to allow snuff in drawing - rooms , and drive tobacco into the smoking - room , though it ' s the cleaner of the two .	1894	bl012797
of their tobacco	perfume		The sight of the beautiful food they had — broiled flesh and black bread — but , above all , the perfume of their tobacco , made me wild to join them .	1897	bl012918
of tobacco|of steaming steaming hot drinks|whisky|gin|brandy and peppermint	odour		There was the thick atmosphere of tobacco smoke impregnated with the odour of steaming steaming hot drinks , whisky , gin , and brandy and peppermint .	1892	bl012934
of turpentine and tobacco	smell	mingled	There was a mingled smell of turpentine and tobacco in the air .	1897	bl012944
of tobacco	scent	soothing	By degrees the whisky asserted itself ; the soothing scent of tobacco , the quiet lamplit room , and , above all , the presence of human companionship , tended to restore Lanchester to his wonted composure .	1897	bl012951
of tobacco	smell		The meal dragged on to a close , and Warnford carried off his guest to the small den which his aunt had conceded to the smell of tobacco .	1897	bl012951
of tobacco	whiff		After a whiff of tobacco and a sip of gin and water Mr .	1889	bl012968
Cigars|tobacco	scent		Cigars , tobacco , and scent , being free from duty are cheap ; whilst upon all spirits the duty is only Is .	1895	bl012986
of soup|of stale tobacco	whiff|odour	balmy|so decidedly prevalent	When the major rose from his rocking - chair before the stove and so disturbed the hot air and balmy whiff of soup which fanned their brows , the odour of stale tobacco became so decidedly prevalent as to leave no doubt of its proceeding mainly from that gentleman ' s attire .	1889	bl012999
of the|the|pungent|pungent tobacco	aroma	the|the strongest|most pungent|pungent	There came to my nostrils the aroma of the strongest , most pungent tobacco , and I heard a heavy footstep grating on the gravel of the drive .	1896	bl019
of strong tobacco	whiff		When a window happens to be partially open , a whiff of strong tobacco , or the stream of noisy conversation , conversation , will now and again make its presence disagreeably felt .	1891	bl028
of this filthy food|of bad cabbage|tobacco|petroleum	smell		Besides being made quite sick with the smell of this filthy food , mixed with that of bad cabbage , tobacco and petroleum , which comes out in puffs from the half - opened hovels , the passer - by is tormented by an uneasy feeling of being devoured .	1891	bl029
of tobacco	whiffs		Both women blessed him with their good and the wakeful mites of children looked deeply interested when he bowed his head and repeated the universal prayer to Our Sleep said the dried - up little man , between whiffs of tobacco .	1892	bl048
tobacco smoke|the|incense|incense	smell|incense|incense		He was more or less a serviceless Indian Bacchus , standing for sign of the beauty and vacuity of their world : and how dismally narrow that world was , she felt with renewed astonishment at every dive out of her gold - fish pool into the world of tides below ; so that she was ready to scorn the cultivation of the graces , and had , when not submitting to the smell , fanciful fits of a liking for tobacco smoke — the familiar incense of those homes where speech was wine .	1897	bl056
of stale tobacco and recent spirits	odour	reeking|most objectionable	He brought with him into the room a reeking odour of stale tobacco and recent spirits , which Hoel thought most objectionable ; but in spite of this the stranger interested him , or rather the unusual scene in which he was participating .	1891	bl064
of tobacco	smell		' Hoel bowed graciously ; he was getting over the smell of tobacco , and the surroundings were impressing themselves on his mental retina .	1891	bl064
of stale tobacco	odour	horrible	Even now the horrible odour of stale tobacco , left as a legacy by Obed , made him thankful that his present surroundings would not , last long .	1891	bl064
of the tobacco - smoke	smell		Bob Sawyer , who had been putting the spirits and water out of sight , and upsetting nauseous drugs to take off the smell of the tobacco - smoke , issued hastily forth in a transport of pleasure and affection .	1893	bl082
of tobacco - smoke	fumes|fumes	rather dingy	The atmosphere was redolent of tobacco - smoke , the fumes of which had communicated a rather dingy hue to the whole room , and more especially especially to the dusty red curtains which shaded the windows .	1893	bl082
of tobaccosmoke tobaccosmoke	smell		The place was intolerably dirty , aud the smell of tobaccosmoke tobaccosmoke perfectly suffocating .	1893	bl082
the little remnant of tobacco	whiff		' Rhys , who in his modesty had but one - third filled his pipe , crammed a horny forefinger into the bowl , and pressed down the little remnant of tobacco there to secure a final whiff or two .	1895	bl0110
of bad tobacco|that child ' s trumpet|the midges and gnats|Arriet	smell		My dear Tiny , you don ' t mean to say you call this heavenly ? It ' s near said the young girl But , my dear child , what stuff ! The couples keep it sufficiently earthy , I should say — and the smell of bad tobacco , and that child ' s trumpet , and the midges and gnats — but principally ' Arry and ' Arriet .	1894	bl0113
Mexican tobacco	aroma	ot	Mexican tobacco was found to possess a richness ot aroma which had hitherto been found only in that of Cuba , and the markets of Antwerp and Hamburg were eager buyers .	1890	bl0126
of stale clothing|effete tobacco smoke	odour		A characteristic odour of stale clothing and effete tobacco smoke — the pent - up exhalations of its seedy audiences — prevails everywhere , not even the sharp draughts , which play about as often as the baize - covered doors swing silently backward and forward , sufficing to dispel them .	1897	bl0132
several bottles|of stale tobacco	smell		Over the stove on a shelf were several bottles , while the smell of stale tobacco rendered the damp atmosphere doubly oppressive .	1890	bl0135
of tobacco	smell		' She wants air , and the cigar will be unpleasant to her , ' thought Launcelot , as he took his friend ' s arm and walked quickly towards the terrace ; ' she told me once she hated the smell of tobacco ; ' and then he wondered why Pauline had given him the impres - ' / DO NOT LIKE SAD THINGS ' 179 sion that Miss Rossiter had retired to rest .	1889	bl0144
of the Hadji ' s pungent tobacco|of sandal - wood|Russian	fumes|odour	heavy	Jack declined the proffered offer , for he already felt giddy with the fumes of the Hadji ' s pungent tobacco , the heavy odour of sandal - wood which perv * aded the den , the entire absence of ventilation , and the great heat ; for an immense fire blazed in the grate , a huge brazier containing smoul - O ' o o dering charcoal stood in one corner of the room , while a big brazen samovar , or Russian tea - urn , hissed and bubbled in another .	1891	bl0159
of sandal - wood and tobacco - smoke	odour	curious mixed	Jack took his leave full of gratitude , and strongly impregnated with a curious mixed odour of sandal - wood and tobacco - smoke .	1891	bl0159
of coarse tobacco	scent	growling	It was of an ebony blackness in the windows overlooking the main deck , though , as the door was opened and shut by the coming and going of stewards , there would enter a low , growling hum of con - & gt ; O o versation , with the scent of coarse tobacco ; and now and again , a noise as of a concertina played forward on the forecastle .	1891	bl0175
of tobacco	smell		To liken it to the smell of tobacco would give civilized mankind a claim against me for defamation of character .	1897	bl0181
of tobacco	smelling	strongly	The farmer would enter the house , and sneeze and cough prodigiously at the unwonted atmosphere ; his friends would drop in upon him , and , to their amazement , discover Farmer Savage , of all men , in a room smelling strongly of tobacco , and with a churchwarden in the fender .	1894	bl0190
